page,text,Class
235,"U.S. Department of Justice AM:ome, Work Protl1:1et // Mtty Contttin ... electability. 69 The assessment further conclu... government had developed a clear preference fo... Several days later , BuzzFeed published unveri... intelligence officer Christopher Steele during... connections under the headline ""These Reports ... press conference the next day, the President -... said, "" I have no dealings with Russia. I have... stayed away . . .. So I have no deals, I have ... in Russia very easily ifwe wanted to, I just d... Several advisors recalled that the President-E... connections, the Russia investigations , and t... interference as a threat to the legitimacy of ... the President-Elect viewed the intelligence co... even if Russia had no impact on the election, ... away from what he had accomplished. 74 Sean Sp... director, recalled that the President thought ... legitimacy of his election. 75 Gates said the ... on the legitimacy of his win .76 And Priebus r... out , the President-Elect was concerned people... 69 Office of the Director of National Intelligenc... US Presidential Election, at 1 (Jan. 6, 2017). 70 Office of the Director of National Intelligenc... US President ial Election, at 1 (Jan. 6, 2017). 71 Ken Bensinger et al., These Reports Allege Tru... 2017). 72 Donald Trump's News Conference: Full Transcrip... 2017), available at https://www.nytimes.com/20... transcript. htm I. 73 Priebus I0/ 13/ 17 302, at 7; Hicks 3/13/18 30... 302, at 2; Gates 4/ 18/I 8 302, at 3; see Pomp... the Russia investigation was to delegitimize h... 74 Hicks 3/13/18 302, at 18. 75 Spicer 10/ 17/ 17 302, at 6. 76 Gates 4/18/ 18 302, at 3. 77 Priebus I 0/13/ 17 302, at 7. 23 NaN",2
236,"U .S. Department of Justice AMsfl'l:eyWark Prmittct // Mtty Csl'l:taiHMate... B. The President's Conduct Concerning th... Overview During the presidential transition, incoming N... two phone calls with the Russian Ambassador to... U.S. sanctions imposed because of Russia's ele... Flynn's contacts with the Russian Ambassador, ... by saying he had not discussed sanctions on th... press interviews. The FBI, which previous... interviewed him about the calls in the first w... to the FBI. On January 26, 2017, Department of... that Flynn and the Russian Ambassador had disc... interviewed by the FBT. The next night, the Pr... Comey in which he asked for Corney's loyalty. ... to resign. The following day, the President ha... he said, ""I hope you can see your way clear to... Evidence 1. Incoming National Security Advisor Flynn Di... Russian Ambassador Sergey Kislyak Shortly after the election, President-Elect Tr... Flynn as his National Security Advisor. 78 For... the Presidential Transition Team (PTT) coordin... foreign government officials, including Russia... Kislyak. 79 On December 29 , 2016, as noted in Volume II, ... Administration announced that it was imposing ... individuals and entities. 80 That day, multipl... sanctions and the impact they would have on th... members of the PTT that he would be speaking t... 78 Flynn 11/16/17 302, at 7; President-Elect ... Attorney General, Lt. Gen. Michael Flynn as As... US. Rep. Mike Pompeo as Director of the Centra... Press Release (Nov. 18, 2016); see also, e.g.,... adviser, Politico, (Nov. 17, 2016). 79 Flynn 11/16/17 302, at 8-14; Priebus I 0/13/17... 80 Statement by the President on Actions in Respo... Harassment, The White House, Office of the Pre... 81 12/29/16 Email, O'Brien to McFarland et al.; 1... Email, McFarland to Flynn et al.; SF00000 I (1... Russia not good. Russian AMBO reaching out to ... 24 NaN",2
237,"U .S. Department of Justice Att6f'fle~·'.VerlcPrnEittet// May C6HtaiftMate... Flynn, who was in the Dominican Republic at th... become the Deputy National Security Advisor an... the President-Elect and other senior staff, ta... communicate to Kislyak about the sanctions .82... Administration officials about the sanctions a... mentioned in those conversations that Flynn wa... those conversations, McFarland informed Flynn ... Lago did not want Russia to escalate the situa... an email to several officials about the sancti... to russian ambassador this evening."" 85 Approximately one hour later, McFarland met wi... and briefed them on the sanctions and Russia's... Reince Priebus recalled that McFarland may hav... situation could be ""cooled down"" and not escal... meeting, someone may have mentioned to the Pre... Russian Ambassador that evening. 88 McFarland ... Elect.89 Priebus recalled that the President-E... Administration to embarrass him by delegitimiz... Immediately after discussing the sanctions wit... called Kislyak and requested that Russia respo... without escalating the situation. 91 After the... Flynn told McFarland that the Russian response... because Russia wanted a good relationship with... 2016 , Russian President Vladimir Putin announ... 82 Statement of Offense at 2-3 , United States v.... 2017) , Doc. 4 (Flynn Statement of Offense); F... McFarland 12/22/17 302, at 6-7. 83 McFarland 12/22/ 17 302, at 4-7 (recalling dis... 84 Flynn Statement of Offense , at 3; Flynn 11... 85 12/29/16 Email, McFarland to Flynn et al. 86 McFarland 12/22/17 302, at 7. 87 Priebus 1/18/18 302 , at 3. 88 McFarland 12/22/ 17 302, at 7. Priebus thought... Flynn's scheduled call with Kislyak at this me... 3. 89 McFarland 12/22/17 302, at 7. 90 Priebus 1/18/18 302, at 3. 91 Flynn Statement of Offense , at 3; Flynn 11/17... 92 Flynn Statement of Offen se, at 3; McFarland 1... 93 McFarland 12/22/ 17 302, at 8. 25 NaN",2
238,"U.S. Department of Justice Atteffley Werk Prec41:tet// May Cefltaifl Mate... in response to the sanctions at that time and ... US relations based on the policies of the Trum... the President-Elect tweeted, ""Great move on de... smart! "" 95 On December 31, 2016, Kislyak called Flynn and... received at the highest levels and Russia had ... Later that day, Flynn told McFarland about thi... decision not to escalate the sanctions situati... that Flynn thought his phone call had made a d... Administration officials that day, but does no... Flynn recalled discussing the sanctions issue ... ° Stephen Bannon the next day. 10 Flynn said tha... conversations with Kislyak, and he and Bannon ... response"" to the sanctions. 101 On January 3, ... thought they discussed the Russian reaction to... recollection of telling the President-Elect ab... Members of the intelligence community were sur... in response to the sanctions. 103 When analyzi... discussion of sa nctions with Kislyak. 104 Pre... based on his relationship with the Russian gov... a key component of that investigation . 106 94 Statement by the President of Russia, Presiden... 95 @realDonaldTrump 12/30/ I6 (2:41 p.m. ET) Tweet. 96 Flynn 1/19/ 18 302, at 3; Flynn Statement of O... 97 Flynn 1/ 19/ 18 302, at 3; Flynn 11/ 17/ 17 30... Statement of Offense, at 3. 98 McFarland 12/22/17 302, at 1O; see Flynn 1/19/... 99 Flynn 11/17117 302, at 5-6. 10 ° Flynn 1/19/ 18 302, at 4-5. Bannon recalled ... remember discuss ing sanctions with him. Banno... 101 Flynn 11/21/17 302, at I; Flynn 1/ 19/ 18 302,... 102 Flynn 1/19/ 18 302, at 6; Flynn 11/17/17 302, ... 3 to McCord 7/17/17 302, at 2. 4 to McCord 7/17/17 302, at 2. 105 McCord 7/17/17 302, at 2-3; Comey 11/ 15/17 30... 106 McCord 7/ 17/17 302, at2-3. 26 NaN",2
239,"U .S. Department of Justice Attel'fley Werk Pl'ea1:1et// Ma.yCeAtB.iAMater... 2. President-Elect Trump is Briefed on the Int... of Russian Interference in the Electio... Interference Investigations On January 6, 2017, as noted in Volume II, Sec... briefed President-Elect Trump and the incoming... assessment that Russia had interfered in the 2... concluded, Comey spoke with the President-Elec... sensitive allegations compiled by Steele. 108 ... immediately after their private discussion, th... he had conducted himself honorably over the pr... President-Elect stated that he thought highly ... ° hoped that he planned to stay on as FBI direct... serving in that role . 111 Comey then briefed ... Steele reporting. 112 Comey recalled that the ... 107 Hearing on Russian Election Interference Befor... I 15th Cong. (June 8, 2017) (Statement for the... 1-2): 108 Comey 11/15/ 17 302, at 3; Hearing on Russian ... Intelligence Committee , I I 5th Cong. (June 8... Director of the FBI, at 1-2). 109 Comey 1/7/17 Memorandum, at 1. Corney began dr... meeting immediately after it occurred. Comey 1... evening and finalized it the following morning... 11 ° Comey 1/7/17 Memorandum, at 1; Corney 11/15/... occasions in January 2017 when the President r... On January 11, President-Elect Trump called Co... Comey was doing great and the President-Elect ... Comey 11/15/17 302, at 4; Hearing on Russian E... Committee, 1I 5th Cong. (June 8, 2017) (testim... Cong. Transcripts, at 90. (""[D]uring that call... a great job .' And I told him that I intended ... enforcement, the President greeted Comey and s... Russian Election Interference Before the Senat... (testimony of James B. Comey, former Director ... in greater detail in Volume II, Section 11.D, ... the White House and said he was glad Comey wan... 111 Comey 1/7117 Memorandum, at 1; Corney l l /15/... 112 Comey 1/7/17 Memorandum, at 1-2; Corney I 1/15... Steele reporting's unverified allegation that ... conduct when he was a private citizen during a... the 2016 presidential campaign, a similar clai... Michael Cohen received a text from Russian bus... tapes from Russia but not sure if there ' s an... Rtskhiladze to Cohen. Rtskhiladze said ""tapes ... held by persons associated with the Russian re... 27 NaN",2
240,"U.S . Department of Justice Wefk Pfetittet // Ma)· CaAtail'tMate, ia:IPl'a... Afl:Elfl'te'.\'· to assure him that the FBI was not investigati... want the President-Elect to think of the conve... On January 10, 2017, the media reported that C... the Steele reporting , 115 and BuzzFeed News p... stating that the information included ""specifi... of contact between Trump aides and Russian ope... expressed concern to intelligence community le... and asked whether they could make public state... reports. 117 In the following weeks , three Congressional c... Russia 's interference in the election and whe... Russia. 118 On January 13, 2017 , the Senate S... that it would conduct a bipartisan inquiry int... ""links between Russia and individuals associat... 2017 , the House Permanent Select Committee on... conducting an investigation into Russian elect... political campaigns. 120 And on February 2, 20... it too would investigate Russian efforts to in... the 2013 Miss Universe Pageant in Russia . Rts... about the issue after receiving the texts from... was told the tapes were fake, but he did not c... 113 Comey 11/15/17 302, at 3-4; H earing on Russia... Intelligence Committee, 115th Cong. (June 8, 2... Director of the FBI, at 2). 114 Comey 11/15/17 302, at 3. 115 See, e.g., Evan Perez et al., Intel chiefs pre... compromise him, CNN (Jan. 10, 2017; updated Ja... 116 Ken Bensinger et al., These Reports Allege Tru... (Jan. 10, 2017). 117 See 1/ 1l /17 Email , Clapper to Comey ("" He a... of course that I say the document s are bogus,... Clapper (""He called me at 5 yesterday and we h... 4-5. 118 See 2016 Presidenti al El.ection Investigation... updated Mar. 1, 2019) (summ arizing sta rting ... 119 Joint Statement on Committee Inquiry into Russ... 120 Joint Stat ement on Progress of Bipar tisa... (Jan. 25, 2017). 121 Joint Statement fr om Senators Graham and Whit... on Demo cratic Nations' Elections (Feb. 2, 2017). 28 NaN",2
241,"U.S. Department of Justice Al:taff!e~·Work Protittet // May Cof!taifl Mat... 3. Flynn Makes False Statements About his Comm... Incoming Administration Officials, the Media, ... On January 12, 2017, a Washington Post columni... communicated on the day the Obama Administrati... column questioned whether Flynn had said somet... whether Flynn's communications had violated th... President-Elect Trump called Priebus after the... about it. 124 Priebus recalled that the Presid... Priebus called Flynn and told him that the Pre... conversations with Kislyak. 126 Flynn recalled... spoken to the ""boss"" and said Flynn needed to ... call the Washington Post columnist and inform ... McFarland recalled that Flynn said words to th... made the call as Flynn had requested although ... the Washington Post updated the column to refl... and Kislyak discussed sanctions. 130 When Priebus and other incoming Administration... about the Washington Post column, Flynn mainta... Kislyak. 131 Flynn repeated that claim to Vice... secretary Sean Spicer. 132 In subsequent media... 122 David Ignatius, Why did Obama dawdle on Russia... 123 David Ignatius, Why did Obama dawdle on Russia... The Logan Act makes it a crime for ""[a]ny citi... authority of the United States, directly or in... intercourse with any foreign government or any... controversies with the United States, or to de... 124 Priebus l/ 18/ 18 302, at 6. 125 Priebus 1/18/18 302, at 6. 126 Priebus 1/18/18 302, at 6. 127 Flynn 11/2 I / 17 302 , at I; Flynn 11/20/ 17 ... 128 McFarland 12/22/17 302, at 12-13. 129 McFarland 12/22/17 302, at 12. 130 McFarland 12/22/ 17 302, at 12-13; McFarland 8... Obama dawdle on Russia 's hacking?, Washington... 13 1 Flynn 11117/17 302, at I, 8; Flynn 1/19/18 302... 8/3 I /17 3 02, at 8-1 I. 132 Flynn 11/17/ 17 302, at I, 8; Flynn 1/ 19/18 3... 29 NaN",2
242,"U.S. Department of Justice At:tofH:eyWork Prodttct // MB) ' CoH:tttiH: M... Spicer denied that Flynn and Kislyak had discu... conversations with Flynn. 133 The public statements of incoming Administrati... had discussed sanctions alarmed senior DOJ off... not true. 134 Those officials were concerned t... unwittingly misled the American public-creatin... Department of Justice assessed that the Russia... investigative team also believed that Flynn's ... discussing sanctions raised potential Logan Ac... Russia investigation. 136 On January 20 , 2017 , President Trump was ina... National Security Advisor. On January 23, 2017... that he had spoken with Flynn the night before... about topics unrelated to sanctions. 137 Spice... concerns that Russia had leverage over Flynn b... information to compromise him. 138 On January 24, 2017 , Flynn agreed to be inter... the interview, which took place at the White H... to refrain from escalating the situation in re... Obama Administration. 140 Flynn also falsely s... conversation in which Kislyak stated that Russ... sanctions as a result of Flynn's request. 141 133 Face the Nation Interview with Vice President-... Hirschfield Davis et al., Trump National Secur... Were Imposed, Washington Post (Jan. 13, 2017);... 15, 2017). 134 Yates 8/15/ 17 302, at2-3; McCord 7/17/17 302,... were ""really freaked out about it""). 135 Yates 8/15/17 302, at 3; McCord 7/17/ 17 302, ... 136 McCord 7/17/17 302, at 4; McCabe 8/17/17 302, ... 137 Sean Spicer, White House Daily Briefing, C-SPA... 138 Yates 8/ 15/17 302, at 4; Axelrod 7/20/17 302,... 139 Flynn Statement of Offense, at 2. 14 °Flynn Statement of Offense, at 2. 141 Flynn Statement of Offense, at 2. On December ... statements and pleaded guilty to violating 18 ... willfully ""make[] any materially false, fictit... enforcement officials. See Volume I, Section I... 30 NaN",2
243,"U.S. Department of Justice Atton'te,•Work P!'otittet// May CoHtttiflMatel... 4. DOJ Officials Notify the White House of The... On January 26, 2017, Acting Attorney General S... Donald McGahn and informed him that she needed... person. 142 Later that day, Yates and Mary McC... Department of Justice , met at the White House... attorney James Burnham. 143 Yates said that th... denying that Flynn and Kislyak discussed sanct... compromised position because the Russians woul... had been interviewed by the FBI. 145 She decli... had performed during that interview , 146 but ... similar to the statements he had made to Pence... sanctions. 147 McGahn came away from the meeti... pinned Flynn down in lies, 148 but he asked Jo... National Security Council , to examine potenti... his contacts with Kislyak. 149 That afternoon , McGahn notified the President... discuss concerns about Flynn .150 McGahn descr... asked him to repeat it, so he did. 151 McGahn ... F lynn , he said that Flynn did not disclose h... may not have been a clear violation of 18 U.S.... 1001, and McGahn explained the law to him, and... 142 Yates 8/ 15/17 302, at 6. 143 Yates 8/15/ 17 302, at 6; McCord 7/17/ 17 302,... Memorandum to file from the Office of the Coun... 144 Yates 8/15/ 17 302, at 6-8; McCord 7/ 17/ 17 3... SCROl 5_000198 (2/15/17 Draft Memorandum to fi... 145 McGahn 11/30/ 17 302, at 5; Yates 8/15/17 302,... 11/3/17 302, at 4. 146 Yates 8/ 15/17 302, at 7; McCord 7/17/ 17 302,... 147 SCR015_000198 (2/15/17 Draft Memorandum to fil... President); Burnham 11/3/ 17 302, at 4. 148 McGahn 11/30/17 302, at 5. 149 SCR0l5_000198 (2/ 15/17 Draft Memorandum to fi... President); McGahn 11/30/17 302, at 6, 8. 150 McGahn 11/30/ 17 302, at 6; SCR0l5_000278 (Whi... re: ""Flynn Tick Tock"") (on January 26, ""McGahn... (2/15/ 17 Draft Memorandum to file from the Of... 151 McGahn 11/30/17 302, at 6. 152 McGahn I 1/30/17 302, at 7. 153 McGahn I 1/30/ 17 302, at 7. 31 NaN",2
244,"U.S. Department of Justice AH:erfl:e~· \llerk PreElttet// May Cefl:taiH... instructed McGahn to work with Priebus and Ban... that they not discuss it with any other offici... with Flynn in light of what Yates had told the... stuff. "" I 55 That evening, the President dined with several... they thought about FBI Director Comey. 156 Acc... Coats, who was at the dinner, no one openly ad... him was not positive. 157 Coats told the group... encouraged the President to meet Comey face-to... decision about whether to retain him . 159 5. McGahn has a Follow-Up Meeting About Flynn ... has Dinner with FBI Director Comey The next day, January 27, 2017, McGahn and Eis... Eisenberg's initial legal research into Flynn'... violated the Espionage Act, the Logan Act , or... research, Eisenberg informed McGahn that there... U.S.C. § 1001 and the Logan Act. 16 1 Eisenber... prosecuted an individual under the Logan Act a... 154 McGahn 11/30/17 302, at 7; SCRO15_000 I 98... Office of the Counsel to the President). 155 Priebus 10/13/17 302, at 8. Several witnesses ... for other reasons at this time. Bannon said th... December 2016. Bannon 2/12/18 302, at 12. The ... had warned him about Flynn shortly after the e... 7 (President Obama ' s comment sat with Presid... that the President had become unhappy with Fly... and had become so upset with Flynn that he wou... 1/18/18 302, at 8. Hicks said that the Preside... sent by Flynn and his son, and she described F... 12/8/17 302, at 7, 10. 156 Coats 6/ 14/ 17 302, at 2. 157 Coats 6/14/ 17 302, at 2. 158 Coats 6/14/17 302, at 2. 159 Coats 6/14/17 302, at 2. 160 SCR015_000199 (2/15/17 Draft Memorandum to... President); McGahn 11/30/17 302, at 8. 161 SCR015_000199 (2/15/ 17 Draft Memorandum t... President); Eisenberg 11/29/ 17 302, at 9. 32 NaN",2
245,"U.S. Department of Justice At:tertte~·Werk Prmhtet // May CetttaiH:Materi... told McGahn that he believed it was unlikely t... under the circumstances. 162 That same morning, McGahn asked Yates to retur... again. I63 In that second meeting , McGahn exp... bring a Logan Act prosecution against Flynn, b... action that would interfere with an ongoing FB... Department ofJustice had notified the White Ho... infonnation provided. 165 McGahn ended the mee... information the Department of Justice possesse... Also on January 27, the President called FBI D... that evening . 167 Priebus recalled that befor... talk about Russia, whatever you do,"" and the P... at the dinner .168 McGahn had previously advis... directly with the Department of Justice to avo... in law enforcement. 169 When Bannon learned ab... he suggested that he or Priebus also attend , ... ° Comey alone. 17 Corney said that when he arriv... and concerned to see that no one else had been... 162 SCR0l5 _000199 (2/15/17 Draft Memorandum to fi... President); Eisenberg 11/29/17 302 , at 9. 163 SCR015 _000199 (2/15/17 Draft Memorandum to fi... President); McGahn 11/30/ 17 302, at 8; Yates ... 164 Yates 8/15/17 302 , at 9; McGahn 11/30/17 302,... 165 Yates 8/15/17 302, at 9; Burnham 11/3/ 17 302,... Memorandum to file from the Office of the Coun... deny that there was an ongoing investigation b... object to the White House taking action agains... 166 Yates 9/15~17 302, at 9; Burnham 11/3/ 17 302 ... Department of Justice made the underlying info... early February. Eisenberg 11/29/17 302 , at 5;... 2/2/17 meeting with Eisenberg). 167 Comey 11/ 15/17 302, at 6; SCR0l2b_000O0I (Pre... Russian Election Interference Before the Senat... (Statement for the Record of James B. Comey, f... 168 Priebus I 0/ 13/17 302 , at 17. 169 See McGahn I 1/30/1 7 302, at 9; Dhillon 11/2 ... 170 Bannon 2/ 12/1 8 302, at 17. 171 Hearing on Russian Election Interference Befor... I 15th Cong. (June 8, 2017) (Statement for the... 3); see Comey 11/15/17 302, at 6. 33 NaN",2
246,"U.S. Department of Justice Attorney Work Proeit:iet// May CoHtaiH Materia... Comey provided an account of the dinner in a c... this Office, and congressional testimony. Acco... President repeatedly brought up Comey's future... director. 172 Because the President had previo... Comey interpreted the President's comments as ... having Comey ask for his job. 173 The Presiden... had raised in the January 6, 2017 briefing and... to investigate the allegations to prove they w... should think carefully about issuing such an o... was investigating him personally, which was in... brought up Flynn and said, ""the guy has seriou... Flynn and the President did not acknowledge an... According to Comey's account, at one point dur... loyalty , I expect loyalty ."" 178 Comey did no... topics , but the President returned to the sub... repeated, ""I need loyalty."" 179 Comey responde... 172 Comey I 1/15/17 302, at 7; Corney 1/28/17 Memo... Interference Before the Senate Select Intellig... the Record of James B. Comey, former Director ... 173 Comey 11/15/17 302, at 7; Hearing on Russian E... Intelligence Committee, 115th Cong. (June 8, 2... Director of the FBI, at 3). 174 Comey 1/28/ 17 Memorandum , at 3; Hearing on R... Select Intelligence Committee, I 15th Cong. (J... former Director of the FBI, at 4). 175 Comey 1/28/17 Memorandum , at 3; Hearing on Ru... Select Intelligence Committee, I 15th Cong. (J... former Director of the FBI, at 4). 176 Comey 1/28/17 Memorandum , at 4; Corney 11/15/... 177 Comey 1/28/17 Memorandum, at 4; Corney I 1/ 15... 178 Comey 1/28/18 Memorandum, at 2; Corney 11/ 15/... Interference Before the Senate Select Intellig... the Record of James B. Comey , former Director... 179 Comey 1/28/ 17 Memorandum, at 3; Corney 11/ 15... Interferenc e Before the Senate Select Intelli... the Record of James B. Comey, former Director ... 18 ° Comey 1/28/17 Memorandum, at 3; Corney 11/ 1... Interfer ence Before the Senate Select Intelli... the Record of James B. Comey, form er Director... 34 NaN",2
247,"U.S. Department of Justice Attel'fte'.>'1.\'e,rk Pre1:h:1et // ~b,. Cet1tait1Material Preteeteti Ut1tierFe... President said, ""That's what I want, h... me. "" 1s2 After Comey's account of the dinner became pub... that he had asked for Comey's loyalty. 183 The... Comey to dinner, telling a reporter that he th... wanted to stay on."" I84 But substantial eviden... invitation and the request for loyalty. The Pr... ""extend[ed] a dinner invitation"" to Comey on J... dinner conversation, Comey documented the Pres... began drafting the night of the dinner; 186 se... the loyalty request shortly after the dinner o... 181 Comey 1/28/17 Memorandum, at 3; Corney 11/ 15/... Interference Before the Senate Select Intellig... the Record of James B . Comey, former Director... 182 Comey 1/28/17 Memorandum, at 3; Corney 11/15/ ... Interference Before the Senate Select Intellig... the Record of James B. Comey, former Director ... 183 See, e.g., Michael S. Schmidt, In a Private Di... Demurred., New York Times (May 11, 2017) (quot... never even suggest the expectation of personal... Loyalty, President's Personal Lawyer Says, NBC... as saying, ""The president also never told Mr. ... substance.""); Remarks by President Trump in Pr... know the man. I' m not going to say ' I want y... ask a man to pledge allegiance under oath?"") .... that he had never asked for Comey's loyalty, b... Spicer 10/16/17 302, at 4. The President also ... McGahn 12/12/ 17 302, at 17. 184 Interview of Donald J Trump, NBC (May 11, 2017). 185 SCR012b_OOOOOI(President's Daily Diary, 1/27/1... in the morning on January 27 and ""[t]he purpos... two witnesses corroborate Comey's account that... Comey having asked for it. Priebus l 0/13/17 3... dinner because he did not know much about Come... as FBI Director); Rybicki I 1/2 1/18 302, at 3... invitation on the day of the dinner) . 186 Comey l l /15/17 302, at 8; Hearing on Russian... Intelligence Committee, 115th Cong. (June 8, 2... Director of the FBI, at 4) . 187 McCabe 8/17/17 302, at 9-10; Rybicki 11/21/ 18... Comey called Deputy Director of the FBI Andrew... discu ssed, including the President's request ... McCabe 8/17/17 302, at 9. Comey also convened ... the President had asked of him during the dinn... properly. McCabe 8/17/17 302, at IO; Rybicki 1... 35 NaN",2
248,"U.S. Department of Justice AttarHey 'Nark Praettet // May CaHtaiH Materia... under oath in congressional proceedings and in... to penalties for lying under 18 U.S.C. § I 00 ... including that the President requested loyalty... 6. Flynn's Resignation On February 2, 2017 , Eisenberg reviewed the u... calls with Kislyak. 189 Eisenberg recalled tha... that could apply to Flynn ' s conduct, but he ... information to make a definitive recommendatio... discussed that Eisenberg's review of the under... conclusion that Flynn was unlikely to be prose... House officials were uncertain what Flynn had ... exposure to prosecution for violating 18 U .S.... The week of February 6, Flynn had a one-on-one... Oval Office about the negative media coverage ... the President was upset and asked him for info... specific dates on which he remembered speaking... the dates he listed. I95 The President asked F... responded that he might have talked about sanc... memorandum documenting the dinner to his senio... memorandum captured what Comey said on the tel... 8/17/17 302, at 9-10. 188 There also is evidence that corroborates other... documenting his interactions with the Presiden... that he told the President in his January 6, 2... 2017, that the FBI was not investigating the P... discussions about firing Comey, the President ... times that he was not under investigation, inc... (Gauhar 5/ 16/17 Notes). 189 Eisenberg 11/29/17 302, at 5; FBI 2/7/17 Elect... meeting with Eisenberg). 190 Eisenberg 11/29/ 17 302, at 6. 191 Eisenberg 1l /29/17 302, at 9; SCRO15_000200 (... Office of the Counsel to the President). 192 Eisenberg 11/29/ 17 302, at 9. 193 Flynn 11/21/17 302, at 2. 194 Flynn 11/21/17 302, at 2. 195 Flynn 11/2 1117302, at 2. 196 Flynn 11/21/17 302, at 2-3. 36 NaN",2
249,"U.S. Department of Justice Attst=fl:e,·\li'srk Prstittct // Mtt,· CE>fl:t... Mfl:1:crittl Pt=E>teetee Ufl:tierFcti. R. Crim. P. 6(c) On February 9, 2017, the Washington Post repor... Kislyak the month before the President took of... President Pence learned of the Department of J... content of Flynn's calls. 198 He and other adv... underlying information about Flynn's contacts ... McCabe , who provided the White House official... they reviewed it, recalled the officials askin... Act. 200 McCabe responded that he did not know... it was a possibility. 201 Based on the evidenc... Priebus concluded that Flynn could not have fo... and had instead been lying about what he discu... House officials that the FB[ had told him that... but Eisenberg did not believe him. 204 After r... McGahn and Priebus concluded that Flynn should... action to the President. 205 That weekend , Flynn accompanied the President... February 12, 2017, on the return flight to D.C... he had lied to the Vice President. 207 Flynn r... calls , but he did not think he lied. 20 8 The... 197 Greg Miller et al., National security adviser ... ambassador, despite denials, officials say, Wa... 198 SCR015_000202 (2/15/17 Draft Memorandum to fil... President); McGahn l l /30/17 302, at 12. 199 SCR0\5_000202 (2/15/ 17 Draft Memorandum to fi... President); McCabe 8/17/17 302, at 11-13; Prie... 200 McCabe 8/17/l 7 302, at 13. 20 1 McCabe 8/17/17 302, at 13. 202 McGahn 11/30/17 302, at 12; Priebus 1/ 18/18 3... SCR015_000202 (2/15/17 Draft Memorandum to fil... 203 McGahn 11/30/17 302, at 11; Eisenberg 11/29/17... 204 Eisenberg l l /29/17 302, at 9. 205 SCRO15_000202 (2/ 15/17 Draft Memorandum to fi... President); Priebus 10/13/17 302, at 10; McGah... 206 Flynn 11/17/17 302, at 8. 207 Flynn 1/19/ 18 302, at 9; Flynn 11/17/17 302, ... 208 Flynn 11/17/17 302, at 8; Flynn 1/19/ l 8 302,... 209 Flynn 1/19/18 302, at 9. 37 NaN",2
250,"U.S. Department of Justice Atte,mey We,rk Preiclttet// Ma)' CeiAtaiHMater... On February 13, 2017 , Priebus told Flynn he h... 21 ° Flynn said he wanted to say goodbye to the President, so Priebus brought h... President hugged Flynn, shook his hand, and sa... You're a good guy ·. We'll take care ofyou."" 212 Talking points on the resignation prepared by ... distributed to the White House communications ... President that Flynn was unlikely to be prosec... with Flynn was one of trust. 213 Spicer told t... ""not based on a legal issue, but based on a tr... 214 and General Flynn had eroded to the point wher... 7. The President Discusses Flynn with FBI Dire... On February 14, 2017, the day after Flynn's re... White House with New Jersey Governor Chris Chr... 216 during the lunch the President said , ""Now tha... 2 17 laughed and responded, ""No way."" ... here on Valentine's Day 2018 talking about thi... Flynn met with the Russians . That was the pro... responding that based on his experience both a... investigated , firing Flynn would not end the ... make an investigation shorter, but a lot of wa... what he meant, and Christie told the President... 2 10 Priebus 1/18/18 302, at 9. 211 Priebus 1/18/18 302, at 9; Flynn 11/17/17 302,... 212 Priebus 1/18/18 302, at 9; Flynn 11117/ 17 302... 213 SCR004 _00600 (2/16 / 17 Email, Burnham t... 214 Sean Spicer, White House Daily Briefing, C-SPA... to violating 18 U .S.C. § I 00 I in December 2... he lied to the Vice President and the FBI."" @r... day , the President's personal counsel told th... Trump's lawyer says he was behind President's ... 2 15 Christie 2/13/19 302, at 2-3; SCR0l2b_000... 216 Christie 2/13/19 302, at 3. 217 Christie 2/13/19 302, at 3. 218 Christie 2/13/19 302, at 3. Christie said... he was referring to not just the investigation... more important thing was that there was an inv... 2 19 Christie 2/13/19 302, at 3. 22 °Christie 2/13/19 302, at 3. 221 Christie 2/13/19 302, at 3. 38 NaN",2
251,"U.S. Department of Justice Atterney \llerk Pt1eattet // May CeHtaiH Mater... frustrated at times. 222 Christie also told th... Flynn, ""like gum on the bottom of your shoe."" 223 Towards the end of the lunch, the President br... sti ll friendly with him. 224 Christie said he... tell him that the President ""really like[s] hi... lunch, the President repeated his request that... intention of complying with the President ' s ... President's request was ""nonsensical "" and Chr... having to receive such a phone call. 229 Chris... on that message .230 At 4 p.m. that afternoon, the President met wi... homeland security briefing. 231 At the end of ... attendees and stated that he wanted to speak t... President Jared Kushner remained in the Oval O... 222 Christie 2/13/19 302, at 3-4. 223 Christie 2/13/19 302, at 3. Christie also reca... who was at the lunch, and complained about wha... day. Kushner told Flynn words to the effect of... about you. I'll get the President to send out ... President when he mentioned the tweet, and the... Flynn recalled getting upset at Spicer's comme... not appreciate the comments. Flynn 1/19/18 302... 224 Christie 2/13/19 302, at 4. 225 Christie 2/13/19 302, at 4. 226 Christie 2/ 13/19 302, at 4-5. 227 Christie 2/13/19 302, at 5. 228 Christie 2/13/19 302, at 5. 229 Christie 2/13/19 302, at 5. 23 °Christie 2/13/19 302, at 5. 231 SCROI 26_000022 (President's Daily Diary, 2/14... 232 Comey 11115/17302, at 10; 2/ 14/17 Corney Memo... Interference Before the Senate Select Intellig... the Record of James B. Comey, former Director ... that everyone was shooed out ""like Comey said""... 39 NaN",2
